id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,min energy efficiency class,item group id,sell on google quantity
XIA456,Brosse à Dents Électrique Xiaomi Mijia T300 - Nettoyage UV,Brosse à dents sonique Xiaomi avec stérilisation UV. Nettoyage profond et blanchiment des dents. Étanche IPX7. Achetez maintenant !,in_stock,,,https://mimistok.com/mijia-brosse-a-dents/,,https://mimistok.com/media/posts/33/imgi_143_s-l960.webp,39.99 EUR,,,yes,787860169251,,XIAOMI,,,,,,blanc,,,,,,,,,,,,,,,,
MIJIA345,Machine sous Vide Xiaomi Mijia - Conservation Aliments,Machine sous vide Xiaomi pour une conservation optimale. Garde fraîcheur et saveurs des aliments. Scelle vos produits facilement. Achetez !,in_stock,,,https://mimistok.com/mijia-de-xiaomi/,,https://mimistok.com/media/posts/32//imgi_109_513GwPWnZL._AC_.webp,79.99 EUR,,,no,,,MIJIA,,,,,,blanc,,,,,,,,,,,,,,,,
XIA3452,Sèche-Cheveux Xiaomi Mi 1600W - Technologie Ionique,Sèche-cheveux Xiaomi Mi 1600W puissant avec ions. Séchage rapide sans abîmer les cheveux. ✨ Livraison offerte - Achetez maintenant !,in_stock,,,https://mimistok.com/seche-cheveux-xiaomi-mi/,,https://mimistok.com/media/posts/27/imgi_24_secador-de-cabelo-xiaomi-mi-high-speed-ionic-1600w-branco.webp,49.99 EUR,,,yes,6934177774034,,XIAOMI,,,,,,blanc,,,,,,,,,,,,,,,,
XIA45677,Aspirateur Portable Xiaomi Sans Fil - Mini Aspirateur Multiusage,"Aspirateur portable Xiaomi pour voiture, maison et bureau. Idéal pour clavier, siège auto et petites poussières. Puissant et compact. Achetez !",in_stock,,,https://mimistok.com/xiaomi-aspirateur-portable/,,https://mimistok.com/media/posts/34//imgi_7_249280795.webp,39.99 EUR,,,yes,6934177723193,,XIAOMI,,,,,,blanc,,,,,,,,,,,,,,,,
XIASTR345,Défroisseur Vapeur Portable Xiaomi - Repassage Rapide,Défroisseur vapeur Xiaomi pliable et portable. Élimine les plis en 1 passage. Idéal voyage ✈️ Livraison offerte ➤ Achetez maintenant !,in_stock,,,https://mimistok.com/xiaomi-handheld-garment-steamer/,,https://mimistok.com/media/posts/28/imgi_130_51xQ6999wjL._AC_SL1500_.webp,25.99 EUR,,,yes,6941812774571,,XIAOMI,,,,,,blanc,,,,,,,,,,,,,,,,
XIAZZ345,Distributeur d'Eau Chaude Instantanée Xiaomi - 3 Secondes,Obtenez de l'eau chaude en 3 sec avec le distributeur Xiaomi. Technologie chauffante instantanée pour boissons et préparations. Achetez !,in_stock,,,https://mimistok.com/xiaomi-instant-hot-water/,,https://mimistok.com/media/posts/35/imgi_5_93b9d82b8dbda3502c55ea93be524835.webp,59.99 EUR,,,yes,6941812796467,,XIAOMI,,,,,,Blanc,,,,,,,,,,,,,,,,
XIA3456ON,Coupe-Ongles Xiaomi Mijia - Kit Manucure Professionnel,Kit manucure Xiaomi Mijia avec coupe-ongles inox. 5 outils professionnels pour soins complets. Livraison gratuite ➤ Achetez maintenant !,in_stock,,,https://mimistok.com/xiaomi-mijia-coupe-ongles/,,https://mimistok.com/media/posts/30//imgi_26_857952067950e486f121b3d97bdcb60d6573a87e_original.webp,12.99 EUR,,,no,,,XIAOMI,,,,,,Acier,,,,,,,,,,,,,,,,
XIAA77,Plaque Induction Portable Xiaomi Mijia - Cuisine Précise,Plaque induction Xiaomi Mijia portable et sûre. Contrôle précis de température. Parfait pour cuisine nomade. Expédition rapide ✨ Achetez !,in_stock,,,https://mimistok.com/xiaomi-mijia-induction-cooker/,,https://mimistok.com/media/posts/29//imgi_164_51jexv2fneL._AC_SL1200_.webp,56.99 EUR,,,no,,,XIAOMI,,,,,,Blanc,,,,,,,,,,,,,,,,
XIA23R4,Bouilloire Connectée Xiaomi Smart Kettle 2 Pro - App Control,Bouilloire Xiaomi Smart Kettle 2 Pro avec contrôle par app. Réglage température précis pour thés et boissons. ✅ Stock limité - Achetez !,in_stock,,,https://mimistok.com/xiaomi-smart-kettle-2-pro/,,https://mimistok.com/media/posts/26//c1ff8f88a7c94ef17518cd4951f11f2f.png,49.99 EUR,,,yes,6941812798041,,XIAOMI,,,,,,Blanc,,,,,,,,,,,,,,,,
XUAC55,Réveil Intelligent Mi Smart Clock avec Google Assistant,"Réveil connecté Mi avec Google Assistant. Agenda, météo, trafic et infos sur son écran. Améliorez votre routine matinale. Achetez !",in_stock,,,https://mimistok.com/mi-smart-clock/,,https://mimistok.com/media/posts/31/imgi_11_S0d6f4286cd2943fbb29e1e992e365689j.jpg_960x960q75.jpg_.webp,49.99 EUR,,,no,,,XIAOMI,,,,,,Blanc,,,,,,,,,,,,,,,,
OBSZ345,Caméra Web OBSBOT Meet SE - Cadrage Automatique IA,Caméra web OBSBOT Meet SE avec cadrage IA automatique. Parfaite pour les visios et live. ✅ En stock - Achetez maintenant !,in_stock,,,https://mimistok.com/obsbot-meet-se-gris-spatial/,,https://mimistok.com/media/posts/20//6528df32352d4b0ba049.png,79.99 EUR,,,yes,6971889230649,,OBSBOT,,,,,,Gris,,,,,,,,,,,,,,,,
OBS3456ON,OBSBOT Tiny 2 Lite : Caméra PTZ 4K AI Ultra-Compacte pour Streaming,"La caméra OBSBOT Tiny 2 Lite est la solution 4K parfaite. Ultra-compacte et légère, elle utilise l'IA pour le suivi automatique en streaming.",in_stock,,,https://mimistok.com/camera-obsbot-tiny-2-lite/,,https://mimistok.com/media/posts/19/cec04a0aa5ef45d2a1a9.png,169.99 EUR,,,yes,6971889230441,,OBSBOT,,,,,,Gris,,,,,,,,,,,,,,,,
OBSAA77,OBSBOT Meet SE Blanc Nuage - Webcam AI Cadrage Auto,OBSBOT Meet SE Blanc Nuage : le cadrage automatique AI intelligent vous suit en temps réel (mode Paysage ou Portrait). Idéal pour le live ! Achetez maintenant.,in_stock,,,https://mimistok.com/obsbot-meet-se-blanc-nuage/,,https://mimistok.com/media/posts/41/imgi_17_8c51fe8b14ee4f2bb507.webp,79.99 EUR,,,yes,6971889230632,,OBSBOT,,,,,,Blanc,,,,,,,,,,,,,,,,
LAIF23R4,Laifen Wave : Brosse à Dents Électrique Sonique Technique Bass,"La Laifen Wave est une brosse à dents sonique qui excelle avec la technique de brossage Bass, recommandée par les dentistes. Nettoyage optimal, protection des gencives.",in_stock,,,https://mimistok.com/laifen-wave/,,https://mimistok.com/media/posts/10//Group_917_0caf8787-d89b-455f-8aa4-aeeece3cbc38_1440x_crop_center.png,59.99 EUR,,,yes,6973833032231,,LAIFEN,,,,,,Blanc,,,,,,,,,,,,,,,,
LAIFAC55,Laifen Wave Blue Aluminum Alloy offre une méthode de brossage innovante,"La Laifen Wave Bleue en Alliage d'aluminium offre une méthode de brossage innovante et la technique Bass. Design premium, nettoyage supérieur pour votre santé dentaire.",in_stock,,,https://mimistok.com/laifen-wave-blue-aluminum-alloy/,,https://mimistok.com/media/posts/11/Group_925_89ce4f68-cb9d-49eb-b997-2aeca0a54cc0_1440x_crop_center.png,79.99 EUR,,,no,,,LAIFEN,,,,,,Bleu,,,,,,,,,,,,,,,,
LAIFA995,Laifen Wave Rose Aluminium : Brosse à Dents Haute Fréquence & Design,La brosse Laifen Wave Rose en Alliage d'aluminium offre un brossage innovant. Elle combine des vibrations à haute fréquence pour un nettoyage en profondeur.,in_stock,,,https://mimistok.com/laifen-wave-pink-aluminum-alloy/,,https://mimistok.com/media/posts/12//Group_924_0bc244e8-b79f-4708-a219-e7b447b33805_1440x_crop_center.png,79.99 EUR,,,no,,,LAIFEN,,,,,,Rose,,,,,,,,,,,,,,,,
LAIFPRO995,"Laifen P3 Pro : Rasoir Électrique 3 Lames, Moteur Linéaire Pro","Découvrez le Laifen P3 Pro, le rasoir électrique 3 lames en Alliage d'aluminium. Moteur linéaire puissant, rasage de précision et conception durable unique.",in_stock,,,https://mimistok.com/laifen-p3-pro/,,https://mimistok.com/media/posts/9/laifen-p3-pro-color-option-alliage-daluminium-gris-espace.webp,199.99 EUR,,,no,,,LAIFEN,,,,,,Aluminium,,,,,,,,,,,,,,,,
LAIFSW8755,Laifen Swift : Sèche-Cheveux Haute Vitesse Silencieux & Léger,"Découvrez le Laifen Swift, le sèche-cheveux haute vitesse ultra-rapide qui sèche vos cheveux en un temps record. Léger, puissant, silencieux Achetez en ligne.",in_stock,,,https://mimistok.com/laifen-swift/,,https://mimistok.com/media/posts/6/Group_902_a7f4ccfd-d452-4ec4-a375-4698ed7b3dc9-1.webp,79 EUR,,,yes,6973833030381,,LAIFEN,,,,,,Bleu,,,,,,,,,,,,,,,,
